,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn
42,1586.0,52.87,15.682,0.0,11.25,1031.042,3.0,0.0,192.0,1.0,0.0,0.0,2.0,1.0,1.0
43,2172.0,72.4,16.642,0.0,8.75,131274.5869,5.0,0.0,203.0,2.0,0.0,0.0,2.0,1.0,1.0
44,204.0,6.8,18.522000000000002,9.79,0.0,19.0918,2.0,0.0,395.0,1.0,0.0,0.0,3.0,1.0,1.0
45,117.0,3.9,24.97,0.0,1.25,2305.0537,15.0,1224.0,358.0,1.0,0.0,0.0,4.0,1.0,1.0
46,210.0,7.0,30.7884,7.17,0.0,702.4287,9.0,348.0,1547.0,1.0,0.0,0.0,2.0,1.0,1.0
47,1433.0,47.77,37.0024,14.82,13.75,2441.9629,2.0,114.0,179.0,1.0,0.0,1.0,2.0,1.0,1.0
48,124.0,4.13,40.81,0.0,15.0,9123.917,15.0,348.0,1635.0,1.0,0.0,1.0,2.0,1.0,1.0
49,1263.0,42.1,41.42,25.01,0.0,1134.0234,1.0,0.0,179.0,1.0,0.0,1.0,2.0,1.0,1.0
50,635.0,21.17,41.48,16.09,2.5,9.8418,3.0,114.0,358.0,1.0,0.0,0.0,2.0,1.0,1.0
51,2793.0,93.1,42.48,11.95,1.25,332.3574,7.0,0.0,2330.0,1.0,0.0,1.0,2.0,1.0,1.0
52,929.0,30.97,42.89,23.9,0.0,21.0293,8.0,24.0,1157.0,1.0,0.0,1.0,3.0,1.0,1.0
53,213.0,7.1,43.34,0.0,31.25,5844.3848,1.0,0.0,179.0,2.0,0.0,0.0,2.0,1.0,1.0
54,911.0,30.37,48.364,30.73,1.25,20.9238,1.0,0.0,179.0,1.0,0.0,0.0,2.0,1.0,1.0
55,1387.0,46.23,53.356,7.17,17.5,823.9795,4.0,0.0,1171.0,1.0,0.0,0.0,1.0,1.0,1.0
56,460.0,15.33,56.06,33.46,0.0,337.5703,4.0,0.0,586.0,1.0,0.0,0.0,1.0,1.0,1.0
57,1028.0,34.27,56.122,7.17,42.5,3944.5361,2.0,0.0,358.0,1.0,0.0,0.0,2.0,1.0,1.0
58,906.0,30.2,57.9,7.17,21.25,69978.7031,2.0,0.0,905.0,1.0,0.0,0.0,1.0,1.0,1.0
59,1597.0,53.23,59.65,0.04,0.0,203.6465,79.0,1932.0,1254.0,1.0,0.0,0.0,2.0,1.0,1.0
60,1399.0,46.63,60.292,25.65,3.75,56.3018,7.0,558.0,713.0,1.0,0.0,0.0,4.0,1.0,1.0
61,2490.0,83.0,60.69,18.95,25.0,1049.9375,1.0,0.0,179.0,2.0,0.0,1.0,2.0,1.0,1.0
62,485.0,16.17,61.606,23.9,1.25,17.4717,5.0,12.0,1816.0,1.0,0.0,0.0,2.0,1.0,1.0
63,1258.0,41.93,62.658,20.88,1.25,35.6611,7.0,12.0,1601.0,2.0,0.0,0.0,4.0,1.0,1.0
64,787.0,26.23,65.4384,16.73,3.75,75.5009,12.0,874.0,2151.0,1.0,0.0,0.0,2.0,1.0,1.0
65,2856.0,95.2,66.232,14.57,11.25,502.3643,24.0,168.0,2234.0,1.0,0.0,0.0,4.0,1.0,1.0
66,121.0,4.03,69.208,11.95,0.0,939.7178,18.0,0.0,3560.0,1.0,0.0,0.0,2.0,1.0,1.0
67,105.0,3.5,75.4,10.5,10.0,2401224.12,22.0,2532.0,1522.0,2.0,0.0,1.0,4.0,1.0,1.0
68,399.0,13.3,76.278,32.82,5.0,36991.4678,14.0,114.0,3133.0,1.0,0.0,0.0,5.0,1.0,1.0
69,1278.0,42.6,79.5704,20.25,5.0,42052.4189,12.0,36.0,1373.0,1.0,0.0,0.0,2.0,1.0,1.0
70,3445.0,114.83,85.088,28.68,21.25,1541.9365,4.0,24.0,358.0,2.0,0.0,0.0,4.0,1.0,1.0
71,125.0,4.17,104.272,9.56,41.25,42023.1319,5.0,0.0,683.0,1.0,0.0,0.0,2.0,1.0,1.0
72,100.0,3.33,112.56,24.51,20.0,336878.9902,3.0,0.0,537.0,2.0,0.0,1.0,2.0,1.0,1.0
73,1223.0,40.77,115.272,7.17,55.0,164326.9375,2.0,0.0,358.0,1.0,0.0,0.0,2.0,1.0,1.0
74,3651.0,121.7,133.1844,32.18,0.0,107.125,7.0,1004.0,1398.0,2.0,0.0,1.0,2.0,1.0,1.0
75,968.0,32.27,133.894,18.48,23.75,154994.9707,7.0,12.0,1168.0,1.0,0.0,1.0,2.0,1.0,1.0
76,311.0,10.37,141.42,41.63,0.0,164.4902,5.0,0.0,867.0,2.0,0.0,1.0,3.0,1.0,1.0
77,1915.0,63.83,141.46200000000002,19.74,0.0,2937.3359,25.0,378.0,4457.0,1.0,0.0,0.0,5.0,1.0,1.0
78,3576.0,119.2,153.734,7.17,7.5,289.2783,37.0,2272.0,2402.0,1.0,0.0,0.0,2.0,1.0,1.0
79,1606.0,53.53,154.6272,49.85,50.0,2305.1553,10.0,0.0,1829.0,1.0,0.0,0.0,1.0,1.0,1.0
80,224.0,7.47,167.282,16.11,37.5,163534.6055,12.0,12.0,1790.0,1.0,0.0,0.0,2.0,1.0,1.0
81,112.0,3.73,195.372,0.0,2.5,1015036.084,13.0,0.0,2268.0,2.0,0.0,0.0,3.0,1.0,1.0
82,120.0,4.0,201.63,5.25,62.5,175380.3223,20.0,0.0,3322.0,5.0,0.0,1.0,2.0,1.0,1.0
83,212.0,7.07,209.9748,16.73,2.5,128786.4131,21.0,240.0,4369.0,2.0,0.0,0.0,2.0,1.0,1.0
84,117.0,3.9,607.82,25.37,112.5,1464461.794,42.0,804.0,6593.0,1.0,0.0,1.0,1.0,1.0,1.0
85,594.0,19.8,656.5039999999999,313.8,0.0,25.2627,78.0,6036.0,14865.0,2.0,0.0,0.0,1.0,1.0,1.0
86,343.0,11.43,825.2260000000001,25.93,65.0,965185.4366,45.0,5287.0,10141.0,1.0,0.0,0.0,4.0,1.0,1.0
87,1310.0,43.67,982.206,59.84,50.0,1163532.41,52.0,4770.0,14055.0,1.0,0.0,0.0,1.0,1.0,1.0
88,297.0,9.9,1505.7772,54.52,150.0,569540.8233,170.0,16159.0,27519.0,1.0,0.0,1.0,6.0,1.0,1.0
89,1348.0,44.93,177.47,0.0,2.5,585569.2217,2.0,0.0,610.0,2.0,0.0,0.0,3.0,2.0,0.0
90,1837.0,61.23,378.58,16.15,60.0,42310.1328,34.0,2799.0,7019.0,1.0,0.0,0.0,3.0,2.0,0.0
91,420.0,14.0,433.874,41.58,1.25,0.6777,71.0,60.0,18656.0,1.0,0.0,0.0,1.0,2.0,0.0
92,1443.0,48.1,878.83,60.56,2.5,171.8359,50.0,14497.0,8664.0,1.0,0.0,0.0,3.0,2.0,0.0
93,1073.0,35.77,1172.3412,23.95,2.5,32489.2959,166.0,9462.0,66251.0,1.0,0.0,0.0,3.0,2.0,0.0
94,617.0,20.57,62.582,29.79,5.0,87.2539,11.0,546.0,1132.0,1.0,0.0,0.0,3.0,2.0,1.0
95,941.0,31.37,69.998,9.56,2.5,28.8105,22.0,192.0,3438.0,1.0,0.0,0.0,6.0,2.0,1.0
96,2085.0,69.5,75.158,20.7,1.25,47.126000000000005,16.0,24.0,2440.0,1.0,0.0,0.0,3.0,2.0,1.0
97,396.0,13.2,85.4004,11.95,27.5,1819.7568,21.0,108.0,2657.0,1.0,0.0,0.0,2.0,2.0,1.0
98,112.0,3.73,88.78,0.0,0.0,2771.9062,13.0,120.0,5711.0,1.0,0.0,0.0,3.0,2.0,1.0
99,1766.0,58.87,96.99600000000001,14.34,3.75,87.2783,19.0,2832.0,1536.0,1.0,0.0,0.0,3.0,2.0,1.0
100,303.0,10.1,211.8048,29.92,1.25,0.9883,23.0,12.0,5390.0,1.0,0.0,0.0,3.0,2.0,1.0
101,435.0,14.5,790.0219999999999,80.46,3.75,536495.0674,81.0,0.0,30847.0,1.0,0.0,0.0,5.0,2.0,1.0
102,393.0,13.1,1210.1728,7.17,33.75,1685.6894,334.0,0.0,62189.0,1.0,0.0,0.0,3.0,2.0,1.0
103,2557.0,85.23,14.21,0.0,0.0,41668.7041,3.0,24.0,490.0,2.0,0.0,0.0,4.0,3.0,0.0
104,121.0,4.03,42.04,0.01,20.0,8001.2422,19.0,156.0,1329.0,1.0,0.0,1.0,4.0,3.0,0.0
105,1469.0,48.97,84.42200000000001,12.42,1.25,0.125,125.0,2634.0,3460.0,1.0,0.0,0.0,4.0,3.0,0.0
106,1284.0,42.8,113.38799999999999,10.5,8.75,22865.5576,64.0,946.0,2987.0,2.0,0.0,0.0,4.0,3.0,0.0
107,1423.0,47.43,136.3,0.0,10.0,287861.3066,8.0,12.0,1540.0,6.0,0.0,0.0,6.0,3.0,0.0
108,2260.0,75.33,150.22,0.0,1.25,1.0791,162.0,2325.0,1874.0,4.0,0.0,0.0,4.0,3.0,0.0
109,936.0,31.2,170.99,11.88,0.0,9810.959,43.0,5403.0,5725.0,1.0,0.0,0.0,6.0,3.0,0.0
110,114.0,3.8,183.84,1.76,0.0,6509.1582,44.0,3012.0,3534.0,2.0,0.0,1.0,2.0,3.0,0.0
111,138.0,4.6,223.7996,74.24,38.75,21134.9131,51.0,4488.0,4607.0,1.0,0.0,0.0,5.0,3.0,0.0
112,109.0,3.63,224.6564,120.75,0.0,856.3242,16.0,2700.0,2735.0,2.0,0.0,0.0,3.0,3.0,0.0
113,4837.0,161.23,229.82,24.76,77.5,128160.6065,46.0,789.0,4047.0,1.0,0.0,0.0,2.0,3.0,0.0
114,142.0,4.73,241.588,0.0,0.0,10972.0264,37.0,6816.0,5400.0,1.0,0.0,0.0,5.0,3.0,0.0
115,2248.0,74.93,256.69,16.06,1.25,4795.3906,69.0,1722.0,2945.0,1.0,0.0,0.0,4.0,3.0,0.0
116,1159.0,38.63,280.126,1.75,3.75,13.1885,28.0,4595.0,8831.0,1.0,0.0,0.0,3.0,3.0,0.0
117,3962.0,132.07,283.568,0.01,11.25,7992730.517999999,9.0,60.0,788.0,7.0,0.0,1.0,4.0,3.0,0.0
118,931.0,31.03,296.42,1.75,26.25,36708.586,55.0,540.0,1641.0,1.0,0.0,0.0,4.0,3.0,0.0
119,3183.0,106.1,307.532,0.01,3.75,50.0381,43.0,7668.0,10038.0,1.0,0.0,0.0,3.0,3.0,0.0
120,122.0,4.07,324.722,84.0,0.0,70.001,39.0,13980.0,5287.0,2.0,0.0,0.0,2.0,3.0,0.0
121,3704.0,123.47,332.85400000000004,9.62,1.25,22.04,91.0,4744.0,6083.0,3.0,0.0,0.0,4.0,3.0,0.0
122,2051.0,68.37,342.37,2.62,0.0,547.8291,315.0,4853.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0
123,227.0,7.57,343.2808,65.41,43.75,176679.2842,29.0,906.0,1021.0,2.0,0.0,0.0,4.0,3.0,0.0
124,110.0,3.67,352.5232,28.27,21.25,53194.5898,306.0,4320.0,4174.0,3.0,0.0,0.0,4.0,3.0,0.0
125,3019.0,100.63,354.3724,8.93,3.75,157332.0869,141.0,4057.0,6619.0,1.0,0.0,0.0,1.0,3.0,0.0
126,1499.0,49.97,361.7256,35.32,0.0,3288.1631,142.0,8124.0,4136.0,1.0,0.0,0.0,1.0,3.0,0.0
127,306.0,10.2,399.5248,1.75,28.75,307292.1416,116.0,4140.0,1666.0,1.0,0.0,0.0,3.0,3.0,0.0
128,1061.0,35.37,423.0128,4.79,2.5,381433.8233,351.0,9552.0,10846.0,2.0,0.0,0.0,3.0,3.0,0.0
129,2316.0,77.2,426.62800000000004,0.0,102.3,287544.4825,36.0,6335.0,4508.0,3.0,0.0,0.0,2.0,3.0,0.0
130,2148.0,71.6,437.7,0.0,0.0,30611.7959,523.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0
131,3701.0,123.37,442.0844,1.75,5.0,292.5508,165.0,3353.0,6334.0,1.0,0.0,0.0,3.0,3.0,0.0
132,745.0,24.83,450.4512,32.15,42.47,118434.7422,176.0,8753.0,978.0,1.0,0.0,0.0,2.0,3.0,0.0
133,1487.0,49.57,466.2008,0.0,3.75,13.9531,468.0,12856.0,7517.0,1.0,0.0,0.0,2.0,3.0,0.0
134,1625.0,54.17,466.73,2.92,0.0,824.752,40.0,4195.0,8903.0,2.0,0.0,0.0,5.0,3.0,0.0
135,2032.0,67.73,485.108,46.52,1.25,4.2793,93.0,8907.0,2653.0,1.0,0.0,0.0,4.0,3.0,0.0
136,747.0,24.9,495.03,79.2,0.0,58128.7901,460.0,8700.0,26663.0,2.0,0.0,0.0,4.0,3.0,0.0
137,2237.0,74.57,499.6376,5.25,30.0,5772188.781,71.0,609.0,17784.0,5.0,0.0,1.0,2.0,3.0,0.0
138,1383.0,46.1,503.3184,24.5,27.5,955695.5263,53.0,1734.0,11209.0,1.0,0.0,0.0,6.0,3.0,0.0
139,3196.0,106.53,507.4964,14.37,86.21,353274.6308,23.0,2112.0,2469.0,2.0,0.0,0.0,2.0,3.0,0.0
140,100.0,3.33,514.4684,0.0,0.0,91824.9209,141.0,992.0,609.0,1.0,0.0,0.0,5.0,3.0,0.0
141,1654.0,55.13,516.354,41.14,1.86,4175.2608,92.0,18510.0,477.0,1.0,0.0,0.0,1.0,3.0,0.0
142,2051.0,68.37,523.2776,49.88,18.75,168358.9795,73.0,7331.0,5462.0,1.0,0.0,0.0,4.0,3.0,0.0
143,411.0,13.7,536.1508,34.52,6.55,997233.5264,112.0,3172.0,12098.0,1.0,0.0,1.0,2.0,3.0,0.0
144,4151.0,138.37,541.682,0.0,0.0,15912.5723,162.0,5450.0,4613.0,5.0,0.0,0.0,2.0,3.0,0.0
145,770.0,25.67,550.072,7.74,5.0,52776.748,182.0,5123.0,4254.0,1.0,0.0,0.0,2.0,3.0,0.0
146,1758.0,58.6,556.3616,5.25,0.0,190.5137,193.0,10655.0,10253.0,1.0,0.0,0.0,5.0,3.0,0.0
147,3879.0,129.3,565.4868,11.96,1.25,117888.5762,66.0,0.0,0.0,11.0,0.0,1.0,5.0,3.0,0.0
148,3340.0,111.33,566.66,0.0,0.0,287165.4756,210.0,502.0,920.0,1.0,0.0,1.0,0.0,3.0,0.0
149,110.0,3.67,589.47,130.46,11.25,727.7734,239.0,2904.0,8876.0,4.0,0.0,0.0,2.0,3.0,0.0
150,133.0,4.43,596.63,0.0,0.0,1150.4736,166.0,2304.0,1512.0,2.0,0.0,0.0,4.0,3.0,0.0
151,248.0,8.27,643.8852,14.0,5.0,230.1465,263.0,4722.0,4973.0,1.0,0.0,0.0,1.0,3.0,0.0
152,1856.0,61.87,646.1308,3.5,67.5,95443.8779,73.0,13961.0,1039.0,1.0,0.0,0.0,4.0,3.0,0.0
153,503.0,16.77,664.306,0.0,5.0,1218030.9409999999,691.0,765.0,2675.0,2.0,0.0,0.0,2.0,3.0,0.0
154,1167.0,38.9,680.2124,1.75,20.0,22695.707000000002,544.0,12642.0,5095.0,1.0,0.0,0.0,3.0,3.0,0.0
155,3805.0,126.83,681.936,81.47,3.75,3624.375,117.0,39261.0,3657.0,2.0,0.0,0.0,4.0,3.0,0.0
156,1883.0,62.77,712.064,19.24,26.25,1863.6113,150.0,13904.0,5377.0,1.0,0.0,1.0,5.0,3.0,0.0
157,2658.0,88.6,713.45,1.22,0.0,391293.7637,392.0,0.0,191.0,3.0,0.0,0.0,3.0,3.0,0.0
158,2195.0,73.17,715.7564,21.0,0.0,109143.5322,109.0,2175.0,9900.0,1.0,0.0,0.0,4.0,3.0,0.0
159,3667.0,122.23,716.1,24.12,1.25,0.2969,89.0,34344.0,8592.0,4.0,0.0,0.0,0.0,3.0,0.0
160,143.0,4.77,721.938,48.08,1.25,0.8584,225.0,24774.0,2160.0,1.0,0.0,0.0,4.0,3.0,0.0
161,1628.0,54.27,729.9960000000001,21.51,0.62,48.2852,157.0,6847.0,31246.0,1.0,0.0,0.0,1.0,3.0,0.0
162,2667.0,88.9,800.4288,6.89,196.25,1024072.837,16.0,1506.0,1611.0,2.0,0.0,0.0,4.0,3.0,0.0
163,141.0,4.7,810.38,49.58,56.25,210613.8564,78.0,2988.0,1653.0,1.0,0.0,0.0,5.0,3.0,0.0
164,2588.0,86.27,827.75,18.22,58.75,488987.1231,21.0,1932.0,2606.0,2.0,0.0,0.0,6.0,3.0,0.0
165,108.0,3.6,836.6616,3.5,15.0,65203.1094,36.0,3924.0,2556.0,1.0,0.0,0.0,1.0,3.0,0.0
166,1693.0,56.43,840.04,12.25,68.75,66257.3985,76.0,24903.0,5055.0,6.0,0.0,0.0,4.0,3.0,0.0
167,2194.0,73.13,866.0188,81.78,3.75,64.7021,345.0,7422.0,42442.0,1.0,0.0,0.0,4.0,3.0,0.0
168,325.0,10.83,866.35,4.17,3.75,277.9688,289.0,36300.0,4567.0,2.0,0.0,0.0,1.0,3.0,0.0
169,1355.0,45.17,875.4,0.0,0.0,144766.4629,888.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0
170,3705.0,123.5,875.4,0.0,0.0,165154.3701,633.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0
171,2180.0,72.67,883.17,0.0,0.0,24901.0264,712.0,0.0,179.0,2.0,0.0,0.0,5.0,3.0,0.0
172,2398.0,79.93,885.8196,17.35,8.75,1237.3144,619.0,13888.0,7960.0,1.0,0.0,0.0,3.0,3.0,0.0
173,3651.0,121.7,889.138,1.2,0.0,6065.1719,313.0,0.0,895.0,2.0,0.0,0.0,2.0,3.0,0.0
174,3689.0,122.97,900.98,0.0,0.0,73951.0078,723.0,1733.0,179.0,4.0,0.0,0.0,5.0,3.0,0.0
175,1417.0,47.23,903.27,0.0,22.5,2166780.011,660.0,0.0,537.0,1.0,0.0,1.0,5.0,3.0,0.0
176,1048.0,34.93,909.98,13.71,0.0,54.04,786.0,0.0,179.0,6.0,0.0,0.0,3.0,3.0,0.0
177,149.0,4.97,911.2984,134.59,67.5,13956.0303,226.0,29724.0,23748.0,1.0,0.0,0.0,2.0,3.0,0.0
178,3899.0,129.97,916.92,4.78,0.0,366469.0478,1170.0,0.0,358.0,1.0,0.0,0.0,4.0,3.0,0.0
179,3279.0,109.3,917.59,0.0,0.0,1846070.15,1073.0,0.0,2151.0,1.0,0.0,0.0,3.0,3.0,0.0
180,3341.0,111.37,919.066,5.99,0.0,200704.8692,502.0,0.0,1367.0,3.0,0.0,0.0,6.0,3.0,0.0
181,1915.0,63.83,940.674,0.0,21.25,248445.0889,122.0,19614.0,12871.0,1.0,0.0,0.0,2.0,3.0,0.0
182,170.0,5.67,958.63,48.64,15.0,23427.8515,119.0,17184.0,3195.0,1.0,0.0,0.0,4.0,3.0,0.0
183,3561.0,118.7,961.8212,58.48,121.25,435237.2461,61.0,2978.0,5784.0,1.0,0.0,0.0,4.0,3.0,0.0
184,1345.0,44.83,963.08,0.0,0.0,14.7383,788.0,2940.0,1458.0,4.0,0.0,0.0,5.0,3.0,0.0
185,368.0,12.27,964.12,20.23,17.5,2165091.16,64.0,3474.0,6085.0,1.0,0.0,0.0,6.0,3.0,0.0
186,4632.0,154.4,974.28,48.93,120.0,365654.5869,92.0,20988.0,21153.0,1.0,0.0,0.0,5.0,3.0,0.0
187,1145.0,38.17,992.4124,74.09,26.25,1104.9473,131.0,35499.0,26258.0,1.0,0.0,0.0,3.0,3.0,0.0
188,2793.0,93.1,996.7139999999999,8.64,3.72,580.9766,253.0,42736.0,16313.0,3.0,0.0,0.0,3.0,3.0,0.0
189,1177.0,39.23,1018.3580000000001,7.0,0.0,390166.9218,420.0,610.0,2471.0,2.0,0.0,0.0,6.0,3.0,0.0
190,3515.0,117.17,1021.68,0.6,1.25,44264.4648,753.0,1212.0,179.0,1.0,0.0,0.0,2.0,3.0,0.0
191,3210.0,107.0,1024.482,0.09,590.0,2718053.559,12.0,813.0,860.0,2.0,0.0,0.0,2.0,3.0,0.0
192,3744.0,124.8,1026.798,1.76,36.25,355.0362,1253.0,20376.0,8640.0,3.0,0.0,0.0,2.0,3.0,0.0
193,3955.0,131.83,1029.14,24.5,17.5,590660.2422,339.0,15406.0,6346.0,1.0,0.0,1.0,1.0,3.0,0.0
194,1770.0,59.0,1032.65,0.0,0.0,5080.3379,482.0,1231.0,7826.0,1.0,0.0,0.0,6.0,3.0,0.0
195,3704.0,123.47,1045.3784,1.75,98.75,192469.0263,223.0,24828.0,17867.0,1.0,0.0,1.0,3.0,3.0,0.0
196,1097.0,36.57,1078.81,16.38,0.0,1457.3662,757.0,15225.0,9692.0,2.0,0.0,0.0,5.0,3.0,0.0
197,148.0,4.93,1100.54,23.61,41.25,602549.9453,334.0,12432.0,16804.0,5.0,0.0,0.0,2.0,3.0,0.0
198,2542.0,84.73,1111.346,53.37,1.25,1024007.2309999999,466.0,9179.0,7889.0,1.0,0.0,0.0,2.0,3.0,0.0
199,3048.0,101.6,1113.61,0.6,0.0,46252.5127,678.0,5019.0,539.0,1.0,0.0,0.0,2.0,3.0,0.0
200,2760.0,92.0,1121.27,5.25,1.25,1972225.73,213.0,14663.0,3201.0,11.0,0.0,0.0,3.0,3.0,0.0
201,1678.0,55.93,1140.37,17.94,0.0,1024.8378,776.0,3050.0,11119.0,2.0,0.0,0.0,3.0,3.0,0.0
202,4102.0,136.73,1143.9,1.75,0.0,5690.0996,571.0,1745.0,21546.0,1.0,0.0,0.0,1.0,3.0,0.0
203,1913.0,63.77,1146.21,0.0,0.0,1.04,522.0,4195.0,17316.0,2.0,0.0,0.0,3.0,3.0,0.0
204,3097.0,103.23,1152.33,15.75,0.0,124973.1816,510.0,10014.0,14689.0,11.0,0.0,0.0,4.0,3.0,0.0
